id,DATA_MONTH,DATA_TYPE,NAME,OR_CUR,OR_CUR_ZB,OR_CUR_YOY,OR_ACC,OR_ACC_ZB,OR_ACC_YOY,SHOP_NUM,SHOP_NUM_ZB,SHOP_NUM_YOY,KIND_CUR,KIND_CUR_YOY,KIND_ACC,KIND_ACC_YOY,NOT_KIND_CUR,NOT_KIND_CUR_YOY,NOT_KIND_ACC,NOT_KIND_ACC_YOY,KIND_CUR_ZB,KIND_ACC_ZB
1,2017/2/1 0:00,省市,宁夏回族自治区,95249001.18,0.03,,250580795.4,0.03,,6647,0.08,22.55,76198746.02,,197556198.7,,19050255.16,,53024596.74,,0.03,0.03
2,2017/3/1 0:00,省市,宁夏回族自治区,156535646.5,0.03,,407116441.9,0.03,,6926,0.09,26.55,129811182.8,,327367381.5,,26724463.65,,79749060.39,,0.03,0.03
3,2017/4/1 0:00,省市,宁夏回族自治区,160153250.8,0.03,,567269692.7,0.03,,6948,0.09,25.66,125322812.9,,452690194.4,,34830437.89,,114579498.3,,0.03,0.03
4,2017/5/1 0:00,省市,宁夏回族自治区,193453227,0.03,,760722919.7,0.03,,6975,0.09,25.02,148059257.1,,600749451.5,,45393969.92,,159973468.2,,0.04,0.03
5,2017/6/1 0:00,省市,宁夏回族自治区,213557091.2,0.03,,974280010.9,0.03,,6982,0.09,24.52,179075214,,779824665.5,,34481877.24,,194455345.4,,0.04,0.03
6,2017/7/1 0:00,省市,宁夏回族自治区,168658599.6,0.03,,1142938610,0.03,,6989,0.09,24.43,125172764.2,,904997429.7,,43485835.33,,237941180.8,,0.03,0.03
7,2017/8/1 0:00,省市,宁夏回族自治区,204272089.7,0.04,,1347210700,0.03,,7039,0.09,25.16,151301013.2,,1056298443,,52971076.53,,290912257.3,,0.04,0.03
8,2017/9/1 0:00,省市,宁夏回族自治区,242002070.2,0.04,,1589212770,0.03,,7051,0.09,25.37,189854505.4,,1246152948,,52147564.86,,343059822.2,,0.04,0.03
9,2017/1/1 0:00,总体,,5.10E+11,,,5.10E+11,,,7900890,,7.67,3.79E+11,,3.79E+11,,1.31E+11,,1.31E+11,,,
10,2017/2/1 0:00,总体,,3.48E+11,,,8.58E+11,,,7968507,,7.51,2.62E+11,,6.42E+11,,85450201633,,2.16E+11,,,
11,2017/3/1 0:00,总体,,5.40E+11,,,1.40E+12,,,8023115,,7.36,4.35E+11,,1.08E+12,,1.05E+11,,3.21E+11,,,
12,2017/4/1 0:00,总体,,5.19E+11,,,1.92E+12,,,8045206,,6.64,3.92E+11,,1.47E+12,,1.27E+11,,4.49E+11,,,
13,2017/5/1 0:00,总体,,5.58E+11,,,2.48E+12,,,8084122,,6.27,4.11E+11,,1.88E+12,,1.47E+11,,5.96E+11,,,
14,2017/6/1 0:00,总体,,6.31E+11,,,3.11E+12,,,8111557,,6,5.02E+11,,2.38E+12,,1.28E+11,,7.24E+11,,,
15,2017/7/1 0:00,总体,,5.56E+11,,,3.66E+12,,,8130590,,5.96,4.00E+11,,2.78E+12,,1.56E+11,,8.80E+11,,,
16,2017/8/1 0:00,总体,,5.53E+11,,,4.21E+12,,,8204305,,6.6,4.07E+11,,3.19E+12,,1.46E+11,,1.03E+12,,,
17,2017/9/1 0:00,总体,,6.64E+11,,,4.88E+12,,,8214933,,6.36,4.96E+11,,3.69E+12,,1.68E+11,,1.19E+12,,,
18,2017/10/1 0:00,总体,,6.63E+11,,,5.54E+12,,,8218318,,5.49,4.97E+11,,4.18E+12,,1.66E+11,,1.36E+12,,,
19,2017/11/1 0:00,总体,,9.77E+11,,,6.52E+12,,,8224925,,5.24,7.69E+11,,4.95E+12,,2.08E+11,,1.57E+12,,,
20,2017/12/1 0:00,总体,,7.61E+11,,,7.28E+12,,,8230210,,5.04,5.75E+11,,5.53E+12,,1.86E+11,,1.75E+12,,,
21,2018/1/1 0:00,总体,,6.87E+11,,31.06,6.87E+11,,31.06,8233400,,4.21,4.87E+11,26.75,4.87E+11,26.75,2.00E+11,42.91,2.00E+11,42.91,,
22,2018/2/1 0:00,总体,,4.58E+11,,27.49,1.15E+12,,29.61,8238113,,3.38,3.25E+11,22.5,8.12E+11,25.02,1.33E+11,41.56,3.33E+11,42.37,,
