id,month,top_name,two_name,or_auc,or_auc_zb,or_acc,or_acc_zb,
1,2017/6/1 12:00 AM,化妆品,缤纷彩妆,3135012677,0.5,9391298626,0.3,
2,2017/7/1 12:00 AM,化妆品,缤纷彩妆,2744669566,0.49,12135968191,0.33,
3,2017/8/1 12:00 AM,化妆品,缤纷彩妆,3015390547,0.55,15151358738,0.36,
4,2017/9/1 12:00 AM,化妆品,缤纷彩妆,3128548705,0.47,18279907443,0.37,
5,2017/10/1 12:00 AM,化妆品,缤纷彩妆,3128372790,0.47,21408280232,0.39,
6,2017/11/1 12:00 AM,化妆品,缤纷彩妆,3898748884,0.4,25307029116,0.39,
7,2017/12/1 12:00 AM,化妆品,缤纷彩妆,3869649173,0.51,29176678290,0.4,
8,2017/1/1 12:00 AM,机电产品及设备,无二级类目,1263177.46,0,1263177.46,0,
9,2017/2/1 12:00 AM,机电产品及设备,无二级类目,809414.6,0,2072592.06,0,
10,2017/3/1 12:00 AM,机电产品及设备,无二级类目,1610926.58,0,3683518.64,0,
11,2017/4/1 12:00 AM,机电产品及设备,无二级类目,1235278.32,0,4918796.96,0,
12,2017/5/1 12:00 AM,机电产品及设备,无二级类目,144159134.9,0.03,149077931.9,0.01,
13,2017/6/1 12:00 AM,机电产品及设备,无二级类目,162881476.4,0.03,311959408.3,0.01,
14,2017/7/1 12:00 AM,机电产品及设备,无二级类目,103939694.7,0.02,415899103,0.01,
15,2017/8/1 12:00 AM,机电产品及设备,无二级类目,192419400.5,0.03,608318503.4,0.01,
16,2017/9/1 12:00 AM,机电产品及设备,无二级类目,229750088.8,0.03,838068592.2,0.02,
17,2017/10/1 12:00 AM,机电产品及设备,无二级类目,148854611.7,0.02,986923204,0.02,
18,2017/11/1 12:00 AM,机电产品及设备,无二级类目,282988275.7,0.03,1269911480,0.02,
19,2017/12/1 12:00 AM,机电产品及设备,无二级类目,145059631.6,0.02,1414971111,0.02,
20,2017/1/1 12:00 AM,家具,家用家具,9204198209,1.8,9204198209,1.8,
21,2017/2/1 12:00 AM,家具,家用家具,7016886968,2.02,16221085177,1.89,
22,2017/3/1 12:00 AM,家具,家用家具,11422984804,2.11,27644069981,1.98,
23,2017/4/1 12:00 AM,家具,家用家具,10069502269,1.94,37713572250,1.97,
24,2017/5/1 12:00 AM,家具,家用家具,9813714010,1.76,47527286260,1.92,
25,2017/6/1 12:00 AM,家具,家用家具,15413932022,2.44,62941218282,2.03,
26,2017/7/1 12:00 AM,家具,家用家具,11119770215,2,74060988498,2.02,
27,2017/8/1 12:00 AM,家具,家用家具,10078045133,1.82,84139033631,2,
28,2017/9/1 12:00 AM,家具,家用家具,12553085757,1.89,96692119388,1.98,
29,2017/10/1 12:00 AM,家具,家用家具,12627992030,1.9,1.09E+11,1.97,
30,2017/11/1 12:00 AM,家具,家用家具,19323744088,1.98,1.29E+11,1.97,
31,2017/12/1 12:00 AM,家具,家用家具,12952664337,1.7,1.42E+11,1.95,
32,2017/1/1 12:00 AM,家具,其他家具,1973173.13,0,1973173.13,0,
33,2017/2/1 12:00 AM,家具,其他家具,2491334.08,0,4464507.21,0,
34,2017/3/1 12:00 AM,家具,其他家具,4362933.03,0,8827440.24,0,
35,2017/4/1 12:00 AM,家具,其他家具,4677611.56,0,13505051.8,0,
36,2017/5/1 12:00 AM,家具,其他家具,16672602.75,0,30177654.55,0,
37,2017/6/1 12:00 AM,家具,其他家具,37149864.26,0.01,67327518.81,0,
38,2017/7/1 12:00 AM,家具,其他家具,24520103.01,0,91847621.82,0,
39,2017/8/1 12:00 AM,家具,其他家具,24462772.15,0,116310394,0,
40,2017/9/1 12:00 AM,家具,其他家具,38392099.84,0.01,154702493.8,0,
41,2017/10/1 12:00 AM,家具,其他家具,22843802.78,0,177546296.6,0,
42,2017/11/1 12:00 AM,家具,其他家具,45925283.38,0,223471580,0,
43,2017/12/1 12:00 AM,家具,其他家具,24789576.38,0,248261156.4,0,
44,2017/1/1 12:00 AM,家具,专用家具,159952662.2,0.03,159952662.2,0.03,
45,2017/2/1 12:00 AM,家具,专用家具,124085579,0.04,284038241.2,0.03,
46,2017/3/1 12:00 AM,家具,专用家具,229284115.5,0.04,513322356.6,0.04,
47,2017/4/1 12:00 AM,家具,专用家具,212918148.6,0.04,726240505.2,0.04,
48,2017/5/1 12:00 AM,家具,专用家具,1307817130,0.23,2034057635,0.08,
49,2017/6/1 12:00 AM,家具,专用家具,2039690721,0.32,4073748356,0.13,
50,2017/7/1 12:00 AM,家具,专用家具,1464227764,0.26,5537976121,0.15,
51,2017/8/1 12:00 AM,家具,专用家具,1770824758,0.32,7308800878,0.17,
52,2017/9/1 12:00 AM,家具,专用家具,2039196068,0.31,9347996946,0.19,
53,2017/10/1 12:00 AM,家具,专用家具,2298213656,0.35,11646210602,0.21,
54,2017/11/1 12:00 AM,家具,专用家具,3081942421,0.32,14728153023,0.23,
55,2017/12/1 12:00 AM,家具,专用家具,2252672086,0.3,16980825108,0.23,
56,2017/1/1 12:00 AM,家用电器和音像器材,家用保健电器,3462111332,0.68,3462111332,0.68,
57,2017/2/1 12:00 AM,家用电器和音像器材,家用保健电器,2290512741,0.66,5752624073,0.67,
58,2017/3/1 12:00 AM,家用电器和音像器材,家用保健电器,3046573301,0.56,8799197374,0.63,
59,2017/4/1 12:00 AM,家用电器和音像器材,家用保健电器,2307620353,0.44,11106817727,0.58,
60,2017/5/1 12:00 AM,家用电器和音像器材,家用保健电器,5019504334,0.9,16126322061,0.65,
61,2017/6/1 12:00 AM,家用电器和音像器材,家用保健电器,5854371305,0.93,21980693366,0.71,
62,2017/7/1 12:00 AM,家用电器和音像器材,家用保健电器,4210827762,0.76,26191521128,0.72,
63,2017/8/1 12:00 AM,家用电器和音像器材,家用保健电器,4748453499,0.86,30939974628,0.73,
64,2017/9/1 12:00 AM,家用电器和音像器材,家用保健电器,6494669541,0.98,37434644169,0.77,
65,2017/10/1 12:00 AM,家用电器和音像器材,家用保健电器,7910468139,1.19,45345112308,0.82,
66,2017/11/1 12:00 AM,家用电器和音像器材,家用保健电器,10132759360,1.04,55477871668,0.85,
67,2017/12/1 12:00 AM,家用电器和音像器材,家用保健电器,10711985189,1.41,66189856858,0.91,
68,2017/1/1 12:00 AM,家用电器和音像器材,家用厨房电器具,11617411346,2.28,11617411346,2.28,
69,2017/2/1 12:00 AM,家用电器和音像器材,家用厨房电器具,9177101131,2.64,20794512477,2.42,
