id,data_month,type,tb,jd,sn,tm,wph,ymx,bbw,gm,jm,sk,qt,ddw
1,2017/1/1 0:00,当期,30.77,11.14,1.97,24.08,,,,,,,32.04,
2,2017/2/1 0:00,当期,30.77,11.38,2,24.8,,,,,,,31.05,
3,2017/3/1 0:00,当期,33.29,12.12,2.14,25.86,,,,,,,26.59,
4,2017/4/1 0:00,当期,30,12.16,2.35,24.26,,,,,,,31.23,
5,2017/5/1 0:00,当期,29.96,11.8,2.25,23.14,,,,,,,32.86,
6,2017/6/1 0:00,当期,31.92,16.22,2.45,22.41,,,,,,,27,
7,2017/7/1 0:00,当期,28.2,11.4,2.34,23.72,,,,,,,34.34,
8,2017/8/1 0:00,当期,28.68,11.58,2.36,24.5,,,,,0.1,,32.77,
9,2017/9/1 0:00,当期,29.29,11.85,2.34,24.7,1.44,,,0.49,0.1,,29.79,
10,2017/10/1 0:00,当期,28.34,12.17,2.53,26.71,1.63,,,0.41,0.09,,28,0.11
11,2017/11/1 0:00,当期,29.77,12.79,2.66,28.06,1.7,0.36,,0.43,0.09,,24.01,0.12
12,2017/12/1 0:00,当期,29.13,12.21,2.54,26.89,1.62,0.33,,0.41,0.09,,26.65,0.11
13,2018/1/1 0:00,当期,27.08,12.11,2.11,24.85,1.41,0.31,,0.65,0.09,,31.26,0.14
14,2018/2/1 0:00,当期,25.91,11.82,2.22,25.57,1.46,0.32,,0.59,0.09,,31.86,0.15
15,2018/3/1 0:00,当期,28.56,12.94,2.34,27.18,1.56,0.34,,0.63,0.09,,26.2,0.16
16,2018/4/1 0:00,当期,27.55,13.52,2.69,26.84,1.57,0.35,,0.63,0.09,,26.61,0.16
17,2018/5/1 0:00,当期,27.47,13.84,2.78,26.51,1.55,0.34,,0.62,0.09,,26.64,0.16
18,2018/6/1 0:00,当期,25.72,19.5,3.19,22.54,1.67,0.36,,0.67,0.1,,26.07,0.17
19,2018/7/1 0:00,当期,25.49,12.81,2.39,25.77,1.54,0.33,0.69,0.61,0.09,0.05,30.05,0.16
20,2018/8/1 0:00,当期,25.26,12.57,2.29,25.9,1.5,0.33,0.51,0.6,0.09,0.07,30.72,0.15
21,2017/1/1 0:00,累计,30.77,11.14,1.97,24.08,,,,,,,32.04,
22,2017/2/1 0:00,累计,30.77,11.24,1.98,24.37,,,,,,,31.64,
23,2017/3/1 0:00,累计,31.74,11.58,2.04,24.95,,,,,,,29.69,
24,2017/4/1 0:00,累计,31.27,11.74,2.13,24.76,,,,,,,30.11,
25,2017/5/1 0:00,累计,30.98,11.75,2.15,24.39,,,,,,,30.73,
26,2017/6/1 0:00,累计,31.17,12.66,2.21,23.99,,,,,,,29.97,
27,2017/7/1 0:00,累计,30.72,12.47,2.23,23.95,,,,,,,30.63,
28,2017/8/1 0:00,累计,30.45,12.35,2.25,24.02,,,,,0.01,,30.91,
29,2017/9/1 0:00,累计,30.29,12.28,2.26,24.11,0.2,,,0.07,0.03,,30.76,
30,2017/10/1 0:00,累计,30.06,12.27,2.29,24.42,0.37,,,0.11,0.03,,30.43,0.01
31,2017/11/1 0:00,累计,30.02,12.35,2.35,24.97,0.57,0.05,,0.16,0.04,,29.47,0.03
32,2017/12/1 0:00,累计,29.92,12.33,2.37,25.17,0.68,0.08,,0.18,0.05,,29.17,0.04
33,2018/1/1 0:00,累计,27.08,12.11,2.11,24.85,1.41,0.31,,0.65,0.09,,31.26,0.14
34,2018/2/1 0:00,累计,26.61,11.99,2.16,25.14,1.43,0.31,,0.63,0.09,,31.5,0.14
35,2018/3/1 0:00,累计,27.41,12.38,2.23,25.97,1.48,0.32,,0.63,0.09,,29.34,0.15
36,2018/4/1 0:00,累计,27.44,12.68,2.35,26.2,1.51,0.33,,0.63,0.09,,28.62,0.15
37,2018/5/1 0:00,累计,27.45,12.92,2.44,26.26,1.52,0.33,,0.63,0.09,,28.21,0.15
38,2018/6/1 0:00,累计,27.09,14.27,2.59,25.5,1.55,0.34,,0.63,0.09,,27.77,0.16
39,2018/7/1 0:00,累计,26.86,14.06,2.56,25.54,1.55,0.34,0.1,0.63,0.09,0.01,28.1,0.16
40,2018/8/1 0:00,累计,26.64,13.86,2.53,25.59,1.54,0.34,0.16,0.63,0.09,0.02,28.46,0.16
